shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Export,13.805503,100.574458,735,7350
Export,13.805565,100.574392,736,7360
Export,13.805628,100.574325,737,7370
Export,13.805691,100.574259,738,7380
Export,13.805753,100.574193,739,7390
Export,13.8057754,100.5741693,740,7400
Export,13.8051171,100.5747497,741,7410
Export,13.805191,100.574698,742,7420
Export,13.805266,100.574646,743,7430
Export,13.80534,100.574594,744,7440
Export,13.805415,100.574542,745,7450
Export,13.8054401,100.5745244,746,7460
Export,13.8047544,100.574856,747,7470
Export,13.804841,100.574831,748,7480
Export,13.804927,100.574805,749,7490
Export,13.805014,100.57478,750,7500
Export,13.8051,100.574755,751,7510
Export,13.8051171,100.5747497,752,7520
Export,13.8044295,100.5749214,753,7530
Export,13.804518,100.574904,754,7540
Export,13.804606,100.574886,755,7550
Export,13.804694,100.574868,756,7560
