route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction
purple,00012,01118,PP16,21:58:30,PT4,22:34:15,21240,00:37:02,1
purple,00012,00118,PP16,22:08:00,PT4,22:43:45,21240,00:37:02,1
purple,00012,00301,PP16,22:17:30,PP01,22:52:45,20899,00:35:45,1
purple,00012,003#,PP01,22:53:15,DEP-PL,23:02:15,1348,00:09:00,1
purple,00012,00401,PP16,22:27:00,PP01,23:02:45,20899,00:35:45,1
purple,00012,004#,PP01,23:02:45,DEP-PL,23:11:45,1348,00:09:00,1
purple,00012,01501,PP16,22:36:30,PP01,23:11:15,20899,00:35:45,1
purple,00012,015#,PP01,23:12:15,DEP-PL,23:21:15,1348,00:09:00,1
purple,00012,00701,PP16,22:46:00,PP01,23:21:15,20899,00:35:45,1
purple,00012,007#,PP01,23:21:45,DEP-PL,23:30:45,1348,00:09:00,1
purple,00012,01601,PP16,22:55:30,PP01,23:30:45,20899,00:35:45,1
purple,00012,016#,PP01,23:31:15,DEP-PL,23:40:15,1348,00:09:00,1
purple,00012,01001,PP16,23:05:00,PP01,23:40:15,20899,00:35:45,1
purple,00012,010#,PP01,23:40:45,DEP-PL,23:49:45,1348,00:09:00,1
purple,00012,01101,PP16,23:14:30,PP01,23:49:45,20899,00:35:45,1
purple,00012,011#,PP01,23:50:15,DEP-PL,23:59:15,1348,00:09:00,1
purple,00012,00101,PP16,23:24:00,PP01,23:59:15,20899,00:35:45,1
purple,00012,001#,PP01,23:59:45,DEP-PL,00:08:45,1348,00:09:00,1
blue,00013,10121,DEP,05:36:50,HUA,05:58:00,10648,,0
blue,00013,20121,DEP,05:44:02,HUA,06:05:12,10648,,0
blue,00013,30121,DEP,05:51:20,HUA,06:12:30,10648,,0
blue,00013,40121,TAO,05:46:09,HUA,06:19:45,21082,,0
blue,00013,50121,TAO,05:53:24,HUA,06:27:00,21082,,0
blue,00013,60321,TAO,06:00:39,HUA,06:34:15,21082,,0
blue,00013,70221,TAO,06:07:54,HUA,06:41:30,21082,,0
blue,00013,80221,TAO,06:15:09,HUA,06:48:45,21082,,0
blue,00013,90221,TAO,06:22:24,HUA,06:56:00,21082,,0
blue,00013,100221,TAO,06:29:39,HUA,07:03:15,21082,,0
blue,00013,10321,TAO,06:36:54,HUA,07:10:30,21082,,0
blue,00013,20321,TAO,06:44:09,HUA,07:17:45,21082,,0
blue,00013,30321,TAO,06:51:24,HUA,07:25:00,21082,,0
blue,00013,40321,TAO,06:58:39,HUA,07:32:15,21082,,0
blue,00013,50321,TAO,07:05:54,HUA,07:39:30,21082,,0
blue,00013,60521,TAO,07:13:09,HUA,07:46:45,21082,,0
blue,00013,70421,TAO,07:20:24,HUA,07:54:00,21082,,0
