shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_17,13.689718,100.481768,20
shp_17,13.690368,100.481377,21
shp_17,13.691143,100.48119,22
shp_17,13.691807,100.48125,23
shp_17,13.692346,100.481429,24
shp_17,13.73487,100.496061,25
shp_17,13.736488,100.496598,26
shp_17,13.7406,100.499657,27
shp_17,13.745067,100.502629,28
shp_17,13.746397,100.503061,29
shp_17,13.750103,100.503987,30
shp_17,13.755462,100.50529,31
shp_17,13.755835,100.50522,32
shp_17,13.756016,100.505133,33
shp_17,13.756678,100.501855,34
shp_17,13.760742,100.496634,35
shp_17,13.76218,100.498278,36
shp_17,13.765,100.499948,37
shp_17,13.766928,100.501137,38
shp_17,13.769705,100.503797,39
shp_17,13.771129,100.505068,40
shp_17,13.774546,100.50669,41
shp_17,13.778344,100.508477,42
shp_17,13.784835,100.511504,43
shp_17,13.785465,100.511832,44
shp_17,13.786245,100.512363,45
shp_17,13.788239,100.513795,46
shp_17,13.791613,100.516246,47
shp_17,13.797261,100.521353,48
shp_17,13.79531,100.526085,49
shp_17,13.806333,100.53086,50
